LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,HUR,TOT,PC_LF,A,1955,4.408333
CAN,HUR,TOT,PC_LF,A,1956,3.433333
CAN,HUR,TOT,PC_LF,A,1957,4.65
CAN,HUR,TOT,PC_LF,A,1958,7.066667
CAN,HUR,TOT,PC_LF,A,1959,5.991667
CAN,HUR,TOT,PC_LF,A,1960,6.991667
CAN,HUR,TOT,PC_LF,A,1961,7.183333
CAN,HUR,TOT,PC_LF,A,1962,5.958333
CAN,HUR,TOT,PC_LF,A,1963,5.583333
CAN,HUR,TOT,PC_LF,A,1964,4.708333
CAN,HUR,TOT,PC_LF,A,1965,3.95
CAN,HUR,TOT,PC_LF,A,1966,3.375
CAN,HUR,TOT,PC_LF,A,1967,3.833333
CAN,HUR,TOT,PC_LF,A,1968,4.525
CAN,HUR,TOT,PC_LF,A,1969,4.425
CAN,HUR,TOT,PC_LF,A,1970,5.675
CAN,HUR,TOT,PC_LF,A,1971,6.2
CAN,HUR,TOT,PC_LF,A,1972,6.233333
CAN,HUR,TOT,PC_LF,A,1973,5.566667
CAN,HUR,TOT,PC_LF,A,1974,5.333333
CAN,HUR,TOT,PC_LF,A,1975,6.916667
CAN,HUR,TOT,PC_LF,A,1976,7.083333
CAN,HUR,TOT,PC_LF,A,1977,8.058333
CAN,HUR,TOT,PC_LF,A,1978,8.383333
CAN,HUR,TOT,PC_LF,A,1979,7.55
CAN,HUR,TOT,PC_LF,A,1980,7.55
CAN,HUR,TOT,PC_LF,A,1981,7.633333
CAN,HUR,TOT,PC_LF,A,1982,11.03333
CAN,HUR,TOT,PC_LF,A,1983,12.03333
CAN,HUR,TOT,PC_LF,A,1984,11.35
CAN,HUR,TOT,PC_LF,A,1985,10.51667
CAN,HUR,TOT,PC_LF,A,1986,9.6
CAN,HUR,TOT,PC_LF,A,1987,8.833333
CAN,HUR,TOT,PC_LF,A,1988,7.766667
CAN,HUR,TOT,PC_LF,A,1989,7.566667
CAN,HUR,TOT,PC_LF,A,1990,8.15
CAN,HUR,TOT,PC_LF,A,1991,10.325
CAN,HUR,TOT,PC_LF,A,1992,11.19167
CAN,HUR,TOT,PC_LF,A,1993,11.4
CAN,HUR,TOT,PC_LF,A,1994,10.41667
CAN,HUR,TOT,PC_LF,A,1995,9.508333
CAN,HUR,TOT,PC_LF,A,1996,9.608334
CAN,HUR,TOT,PC_LF,A,1997,9.116667
CAN,HUR,TOT,PC_LF,A,1998,8.283334
CAN,HUR,TOT,PC_LF,A,1999,7.591667
CAN,HUR,TOT,PC_LF,A,2000,6.816667
CAN,HUR,TOT,PC_LF,A,2001,7.216667
CAN,HUR,TOT,PC_LF,A,2002,7.675
CAN,HUR,TOT,PC_LF,A,2003,7.575
CAN,HUR,TOT,PC_LF,A,2004,7.191667
CAN,HUR,TOT,PC_LF,A,2005,6.758333
CAN,HUR,TOT,PC_LF,A,2006,6.466667
CAN,HUR,TOT,PC_LF,A,2007,6.166667
CAN,HUR,TOT,PC_LF,A,2008,6.291667
CAN,HUR,TOT,PC_LF,A,2009,8.45
CAN,HUR,TOT,PC_LF,A,2010,8.175
CAN,HUR,TOT,PC_LF,A,2011,7.633333
